City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
209,Khalkhal,IR,2021-01-27 21:53:15,37.6189,48.5258,29.12,80,69,5.5
210,Bubaque,GW,2021-01-27 21:53:15,11.2833,-15.8333,78.03,69,0,14.41
211,Nyahururu,KE,2021-01-27 21:53:15,0.0421,36.3673,51.15,97,28,6.91
212,Keningau,MY,2021-01-27 21:53:04,5.3378,116.1602,77.0,94,20,4.61
213,Yar-Sale,RU,2021-01-27 21:50:51,66.8333,70.8333,-38.31,80,71,4.61
214,Mount Holly,US,2021-01-27 21:53:16,35.2982,-81.0159,57.99,72,75,12.66
215,Cabra,ES,2021-01-27 21:53:16,37.4725,-4.4421,53.6,100,90,1.14
216,Ucluelet,CA,2021-01-27 21:50:50,48.9329,-125.5528,41.0,81,75,6.91
217,Georgetown,MY,2021-01-27 21:53:18,5.4112,100.3354,77.0,100,20,5.12
218,Bengkulu,ID,2021-01-27 21:51:05,-3.8004,102.2655,74.73,91,100,5.93
219,Sitka,US,2021-01-27 21:53:19,57.0531,-135.33,28.4,40,1,9.22
220,Jaguarao,BR,2021-01-27 21:52:01,-32.5661,-53.3758,73.94,81,57,2.62
221,Iquique,CL,2021-01-27 21:53:19,-20.2208,-70.1431,73.4,64,0,16.11
222,Kalaleh,IR,2021-01-27 21:53:19,37.3807,55.4916,41.0,60,0,10.11
223,Marsh Harbour,BS,2021-01-27 21:53:19,26.5412,-77.0636,76.39,77,27,11.86
224,Novoselitskoye,RU,2021-01-27 21:53:19,44.7508,43.4369,35.6,87,90,6.71
225,Qandala,SO,2021-01-27 21:53:20,11.472,49.8728,72.99,60,13,4.99
226,Qaanaaq,GL,2021-01-27 21:53:20,77.484,-69.3632,-14.69,63,0,7.83
227,Pemangkat,ID,2021-01-27 21:53:20,1.1667,108.9667,76.59,87,100,7.36
228,Luderitz,NA,2021-01-27 21:53:20,-26.6481,15.1594,67.93,61,0,27.22
229,Puerto Madero,MX,2021-01-27 21:53:21,14.7208,-92.4215,84.16,64,48,10.89
230,Moulins,FR,2021-01-27 21:53:21,46.5,3.3333,48.2,87,90,3.44
231,Mount Isa,AU,2021-01-27 21:53:21,-20.7333,139.5,80.6,69,0,8.05
232,Alamogordo,US,2021-01-27 21:50:56,32.8995,-105.9603,50.0,15,1,3.65
233,Ponta Do Sol,PT,2021-01-27 21:53:21,32.6667,-17.1,60.01,78,82,1.99
234,Umred,IN,2021-01-27 21:53:22,20.85,79.3333,66.2,59,9,2.3
235,Butaritari,KI,2021-01-27 21:53:22,3.0707,172.7902,80.1,81,87,12.71
236,Banda Aceh,ID,2021-01-27 21:53:22,5.5577,95.3222,77.0,83,85,4.05
237,Mirnyy,RU,2021-01-27 21:53:22,62.5353,113.9611,-44.36,80,43,1.83
238,Lighthouse Point,US,2021-01-27 21:53:23,26.2756,-80.0873,84.99,54,40,9.22
239,San Andres,CO,2021-01-27 21:53:24,12.5847,-81.7006,80.6,83,40,16.11
240,Aklavik,CA,2021-01-27 21:53:24,68.2191,-135.0107,-13.0,77,100,2.3
241,Whitehorse,CA,2021-01-27 21:53:24,60.7161,-135.0538,-11.0,76,1,3.44
